Date,Price,Open,High,Low,Volume
2025-10-01,270.37,255.04,277.32,244,1.10B
2025-09-01,254.63,229.25,257.6,225.95,1.27B
2025-08-01,232.14,210.87,235.12,201.5,1.22B
2025-07-01,207.57,206.66,216.23,206.14,1.08B
2025-06-01,205.17,200.28,207.39,195.07,1.10B
2025-05-01,200.85,209.08,214.56,193.25,1.20B
2025-04-01,212.5,219.8,225.19,169.21,1.61B
2025-03-01,222.13,241.79,244.03,208.42,1.12B
2025-02-01,241.84,229.99,250,225.7,862.32M
2025-01-01,236,248.93,249.1,219.38,1.20B
2024-12-01,250.42,237.27,260.1,237.16,977.94M
2024-11-01,237.33,220.96,237.81,219.71,891.64M
2024-10-01,225.91,229.52,237.49,221.33,930.84M
2024-09-01,233,228.55,233.09,213.92,1.23B
2024-08-01,229,224.37,232.92,196,1.12B
2024-07-01,222.08,212.09,237.23,211.92,1.15B
2024-06-01,210.62,192.9,220.2,192.15,1.72B
2024-05-01,192.25,169.58,193,169.11,1.34B
2024-04-01,170.33,171.19,178.36,164.07,1.25B
2024-03-01,171.48,179.55,180.53,168.49,1.43B
2024-02-01,180.75,183.99,191.05,179.25,1.16B
2024-01-01,184.4,187.15,196.38,180.17,1.19B
2023-12-01,192.53,190.33,199.62,187.45,1.06B
2023-11-01,189.95,171,192.93,170.12,1.10B
2023-10-01,170.77,171.22,182.34,165.67,1.17B
2023-09-01,171.21,189.49,189.98,167.62,1.34B
2023-08-01,187.87,196.24,196.73,171.96,1.32B
2023-07-01,196.45,193.78,198.23,186.6,996.37M
2023-06-01,193.97,177.7,194.48,176.93,1.30B
2023-05-01,177.25,169.28,179.35,164.31,1.28B
2023-04-01,169.68,164.27,169.85,159.78,969.78M
2023-03-01,164.9,146.83,165,143.9,1.52B
2023-02-01,147.41,143.97,157.38,141.32,1.31B
2023-01-01,144.29,130.28,147.23,124.17,1.44B
2022-12-01,129.93,148.21,150.92,125.87,1.68B
2022-11-01,148.03,155.08,155.45,134.38,1.72B
2022-10-01,153.34,138.21,157.5,134.37,1.87B
